DrugName,Manufacturer,NAFDAC_Number,Barcode,BatchNumber,ExpiryDate,DosageForm,Strength,PackageSize,Country,Label
Vitamin C,May & Baker Nigeria Plc,F4-6409,6191091090323,L25-1861,2028-10-10,Sachet,5mg,20 tablets,Nigeria,Genuine
Diclofenac,Fidson Healthcare Plc,Y0-1508,6193309232716,B24-7719,2028-06-06,Sachet,1g,1 tube,Nigeria,Genuine
Loperamide,Evans Medical Plc,M7-1570,6194622681717,LOT26-1761,2029-01-06,Cream,100mg,1 vial,Nigeria,Genuine
Glibenclamide,Fidson Healthcare Plc,S8-1776,6197468235465,B25-1700,2026-01-07,Tablet,50mg,30g tube,Nigeria,Genuine
Antacid,Sanofi Nigeria,B0-5094,6190102724059,LOT26-4101,2028-03-20,Ointment,50mg,5 vials,Nigeria,Genuine
Amlodipine,Neimeth International Pharmaceuticals,T6-3565,6197466621598,BN26-4041,2027-12-28,Drops,500mg,10 tablets,Nigeria,Genuine
Erythromycin,Pharma Deko Plc,A5-5085,6194281644160,BN24-1817,2029-06-21,Suspension,10mg,200ml bottle,Nigeria,Genuine
Gentamicin,Bioraj Pharmaceuticals Ltd,T6-3553,6197066149829,B26-2978,2028-07-15,Injection,50mg,10 capsules,Nigeria,Genuine
  Cotrimoxazole ,Pfizer Nigeria,B7-748520,0000000000000,??,2020-01-21,Cpasule,5mg,200ml bottle,China,Suspicious
aMPICLOX,FastRelief Drugs,W6YA8J,2222222222222,MQE,UNKNOWN,  Ointment ,500mg/5ml,5 vials,Nigeria,Suspicious
Promethazine,May & Baker Nigeria Plc,W0-6470,6198561547318,LOT25-6253,2027-10-16,Sachet,100mg,20 capsules,Nigeria,Genuine
Hydrocortisone,Fidson Healthcare Plc,V9-6544,6190052812738,LOT26-5790,2029-12-07,Tablet,250mg/5ml,60ml bottle,Nigeria,Genuine
Augmentin,Sanofi Nigeria,H9-7375,6198562185014,L24-1345,2028-10-25,Sachet,1g,60ml bottle,Nigeria,Genuine
Vitamin CC,MegaDrug Industries,A2-725188,1111111111111,---,2020-11-17,Capsuel,20mg,N/A,Unknown,Suspicious
Paracetamol,Tuyil Pharmaceutical Industries,G5-7885,6194757051201,LOT25-1269,2029-03-07,Injection,20mg,10 tablets,Nigeria,Genuine
Doxycycline,Mopson Pharmaceutical Ltd,C5-9284,6191579376390,BT26-4113,2029-11-19,Syrup,1g,10 capsules,Nigeria,Genuine
Vitamin CC,AlphaHealth Industries,O7-1452,6196007461433,57,2020-05-24,  Sachet ,1g,1 vial,China,Suspicious
Metronidazole,Chi Pharmaceuticals Ltd,G3-4238,6192470739208,BN26-3445,2028-11-25,Injection,125mg/5ml,60ml bottle,Nigeria,Genuine
Tramadol,Pharma Deko Plc,E2-8696,6192847657043,BN24-1083,2026-10-25,Syrup,5mg,30 tablets,Nigeria,Genuine
Tramadol,Hovid Nigeria Ltd,G5-6047,6194617773267,LOT24-0420,2028-05-28,Injection,1g,30g tube,Nigeria,Genuine
Vitamin B Complex,Drugfield Pharmaceuticals Ltd,S0-6766,6198147700540,BN26-1579,2029-08-19,Powder,500mg/5ml,1 tube,Nigeria,Genuine
Hydrocortisone,May & Baker Nigeria Plc,CU-LJAC,316004,VyDQ,???,pOWDER,400mg,100 tablets,China,Suspicious
Instant Relief Caps,WonderDrug Co,a9-9078,6192542654163,76,2023-07-25,Suspension,125mg/5ml,20 capsules,China,Suspicious
Azithromycin,Sanofi Nigeria,N8-9745,6194578317456,L25-2651,2028-01-01,Powder,500mg/5ml,30 tablets,Nigeria,Genuine
Rantiidine,NovaDrug Industries,D-51,0000000000000,87,10/04/2026,Suspension,5mg,5 vials,Pakistan,Suspicious
Metformin,Fidson Healthcare Plc,G3-7950,6191386120759,BN24-1300,2026-03-26,Injection,5mg,20 tablets,Nigeria,Genuine
Coartem,Sanofi Nigeria,H8-2113,6199490531522,BN25-8322,2026-10-10,Sachet,50mg,60ml bottle,Nigeria,Genuine
Flagy,Drugfield Pharmaceuticals Ltd,J1-3793,6192232087387,BATCH-884,UNKNOWN,Suspension,200mg,100ml bottle,Unknown,Suspicious
Panado,GoodHealth Generics,SX-KAAK,47597833548835719214,---,N/A,Injection,50mg,N/A,Ghana,Suspicious
Antacid,nigerian german chemicals plc,J6-6414,0000000000000,??,???,suspension,400mg,10 capsules,Ghana,Suspicious
Vitamin CC,QuickCure Labs,C5-9690,6192584907340,6,2020-10-24,Drops,???,1 vial,Pakistan,Suspicious
Folic Acid,Fidson Healthcare Plc,U3-7757,6194424936312,BT24-0553,2027-05-15,Drops,5mg,60ml bottle,Nigeria,Genuine
NIFEDIPINE,SuperCure Pharma,-5180,0000000000000,66,2023-05-19,TABLET,200mg,20 capsules,China,Suspicious
Amlodipine,Evans Medical Plc,G9-2094,6190622723624,L25-9789,2027-04-27,Cream,250mg,100 tablets,Nigeria,Genuine
Fuorsemide,SanofiN igeria,M4-5891,iZap8k282TxHu,N/A,2023-08-20,  Cream ,1g,30g tube,Unknown,Suspicious
Flagyl,Chi Pharmaceuticals Ltd,J0-5342,6193261189004,BT25-6368,2029-02-23,Ointment,200mg,10 tablets,Nigeria,Genuine
Flagyl,BestPills International,P1-2531,07239191846550636985,xMvTsG,N/A,Sachet,UNKNOWN,1 pack,Unknown,Suspicious
Ciprofloxacn,Swiss Pharma Nigerai Ltd,-6402,886173277606395136,sydvCH,13/12/2025,Suspension,250mg/5ml,N/A,Nigeria,Suspicious
ORS,May & Baker Nigeria Plc,Z3-2270,6191587605451,L26-6496,2028-08-11,Drops,20mg,1 vial,Nigeria,Genuine
Amoxicilin,Emzor Pharmaceuitcal Industries,PENDING,3333333333333,28,???,Capsule,250mg/5ml,30g tube,Pakistan,Suspicious
Ceftriaxone,Nigerian German Chemicals Plc,M1-9835,6192512868231,BN24-4988,2029-11-24,Powder,20mg,200ml bottle,Nigeria,Genuine
Vitamin CC,PharmaPlus International,X0-5057,6193997415927,XDQdTbGw,26/09/2025,Scahet,500mg/5ml,1 vial,Pakistan,Suspicious
Amoxicilin,FastRelief Drugs,Z9-1380,45810457,92,14/07/2026,Injection,20mg,100ml bottle,Pakistan,Suspicious
Ceftriaxone,Pfizer Nigeria,Z4-6592,6192321941682,BN24-6570,2026-01-06,Drops,50mg,1 tube,Nigeria,Genuine
Magic Cure Pill,TopNotch Drugs Ltd,P-62,6193990460085,89,,Ointment,500mg/5ml,10 capsules,Unknown,Suspicious
Amoxicillin,Hovid Nigeria Ltd,F4-9759,6194581308892,B24-0774,2028-08-10,Powder,5mg,100 tablets,Nigeria,Genuine
Doxycycline,GlaxoSmithKline Nigeria,A2-1462,6198718274968,B26-0898,2028-10-04,Powder,50mg,30 tablets,Nigeria,Genuine
Azithromycin,Chi Pharmaceuticals Ltd,M5-3234,6197354352092,BN25-2336,2026-08-15,Ointment,100mg,30g tube,Nigeria,Genuine
Spironolactone,PharmaFast Nigeria,X1-3713,542832867851506688,syKsv,03/07/2026,Powder,1g,20 tablets,Pakistan,Suspicious
Lonart,Fidson Healthcare Plc,V7-6615,6199574988556,B24-9762,2028-10-25,Suspension,200mg,10 tablets,Nigeria,Genuine
Folic Acid,Sanofi Nigeria,C1-3585,6193829657723,LOT24-9816,2028-05-07,Capsule,20mg,20 capsules,Nigeria,Genuine
Paracetmaol,FastRelief Drugs,K0-7280,5288899088860811,fEjXKb,17/01/2026,Powder,1g,200ml bottle,India,Suspicious
Flagyl,Drugfield Pharmaceuticals Ltd,G2-3504,6191277997996,LOT26-5279,2027-08-03,Drops,50mg,5 vials,Nigeria,Genuine
Erythromycin,Bioraj Pharmaceuticals Ltd,B9-5575,6191491507629,B24-9643,2029-11-14,Syrup,500mg,1 tube,Nigeria,Genuine
MegaVit Plus,DrugKing Industries,B2-7269,0000000000000,??,???,Injeciton,N/A,30g tube,Unknown,Suspicious
MegaVit Plus,BioFix Pharmaceuticals,  F7-4162 ,6194271832249,lYuI,2023-07-04,Drops,5mg,10 tablets,Ghana,Suspicious
Ciprofloxacin,,N/A,6198113537392,??,2023-11-06,Sachte,N/A,1 pack,Unknown,Suspicious
Chlorhpeniramine,HealthMax Pharma,FD-IYTX,0000000000000,??,16/12/2026,  Injection ,500mg,100ml bottle,Unknown,Suspicious
Emzor Paracetamol,DrugKing Industries,PENDING,6195792826298,vVf,UNKNOWN,Syrup,1g,1 pack,Pakistan,Suspicious
Flagyl,Nigerian German Chemicals Plc,S4-1866,6195396727571,B25-4619,2029-09-23,Suspension,400mg,5 vials,Nigeria,Genuine
Hydrocortisone,Tuyil Pharmaceutical Industries,R0-9084,6193397767190,B24-4109,2028-10-21,Powder,200mg,10 tablets,Nigeria,Genuine
Paracetmol,nigerian german chemicals plc,-5107,6191854554185,41,,Cpasule,250mg,100ml bottle,India,Suspicious
Metroniadzole,WonderDrug Co,R-58,05022,5,25/11/2026,Cream,250mg/5ml,20 capsules,Pakistan,Suspicious
Prednisolone,Sunrise Medications,U-13,6710665602492357774,pcyzjgzJ,???,cream,200mg,5 vials,Pakistan,Suspicious
Diclofenac,Neimeth International Pharmaceuticals,V5-6424,6195439878017,LOT25-4037,2027-01-22,Cream,20mg,30g tube,Nigeria,Genuine
Tramadol,Tuyil Pharmaceutical Industries,D9-8584,6195817246193,BN26-9871,2029-06-16,Tablet,250mg,100 tablets,Nigeria,Genuine
PREDNISOLONE,Sunrise Medications,E146OO,XM8Uq9AS0iyLF,BATCH-915,2023-06-03,  Drops ,250mg/5ml,10 capsules,Ghana,Suspicious
Ciprofloxacn,Pfizer Nigeria,A718FV,AgYW6rrz6DqIw,43,2022-06-02,Caspule,400mg,1 tube,Unknown,Suspicious
Diazepam,Tuyil Pharmaceutical Industries,O1-9797,6190513717176,BT24-8986,2027-10-16,Injection,1g,10 tablets,Nigeria,Genuine
Diclofenac,MegaDrug Industries,-3359,6193720945165,---,???,Tablet,20mg,N/A,Ghana,Suspicious
Ciprofloxacn,Chi Pharmaceuticals Ltd,KL-UICS,qJtGPs6xL8JRp,BATCH-343,2021-10-09,tABLET,500mg/5ml,10 tablets,Pakistan,Suspicious
MegaVit Plus,Emzor Pharmaceutical Industries,UMZT2E,076444904,76,24/11/2026,Capsule,400mg,10 capsules,Ghana,Suspicious
Amatem,Chi Pharmaceuticals Ltd,T6-9268,6192769704092,LOT24-2031,2028-02-26,Sachet,20mg,20 tablets,Nigeria,Genuine
Gentamicin,Bioraj Pharmaceuticals Ltd,Z7-5255,6194701732088,L25-2518,2027-08-15,Drops,100mg,1 vial,Nigeria,Genuine
Tetracycline,Tuyil Pharmaceutical Industries,K4-7264,6190273415145,B26-9056,2026-05-08,Capsule,250mg,20 tablets,Nigeria,Genuine
Pnaadol,SuperCure Pharma,L-43,0000000000000,76,???,  Tablet ,125mg/5ml,1 tube,Unknown,Suspicious
Ampiclox,SKG Pharma Ltd,D8-8537,6195003691554,B25-3166,2028-04-09,Drops,1g,20 capsules,Nigeria,Genuine
Prednisolone,Emzor Pharmaceutical Industries,I5-3126,6193888562259,B25-6917,2026-06-28,Sachet,5mg,60ml bottle,Nigeria,Genuine
Augmentin,May & Baker Nigeria Plc,S6-3551,6198936543587,B26-4506,2026-09-25,Suspension,400mg,100 tablets,Nigeria,Genuine
Ranitidine,Swiss Pharma Nigeria Ltd,O4-5314,6198570862099,LOT26-4012,2028-12-03,Powder,20mg,100 tablets,Nigeria,Genuine
Promethazine,Swiss Pharma Nigeria Ltd,E2-8790,6190510287672,LOT25-8298,2026-04-18,Ointment,20mg,30g tube,Nigeria,Genuine
Amoxil,Pharma Deko Plc,G2-7503,6198685074516,BN26-6367,2029-04-10,Suspension,20mg,30 tablets,Nigeria,Genuine
Azithromycin,Pfizer Nigeria,F2-4610,6194103469964,L24-3904,2026-02-14,Drops,50mg,30 tablets,Nigeria,Genuine
Hydrocortisone,MedLine Drugs Ltd,B-20,398013,N/A,05/09/2025,Suspensoin,250mg,5 vials,Pakistan,Suspicious
Augmentin,Pfizer Nigeria,I8-4554,6191478911791,L24-6756,2028-10-23,Powder,250mg,5 vials,Nigeria,Genuine
Amatem,BestPills International,RZJz,aydeYzryZKArW,cfu,UNKNOWN,Injcetion,50mg,20 tablets,Nigeria,Suspicious
Ampiclox,Neimeth International Pharmaceuticals,O8-7116,6198471296184,BN24-3416,2027-05-05,Ointment,500mg,20 capsules,Nigeria,Genuine
Amlodipine,Sanofi Nigeria,I5-5175,6199180172264,BN24-6919,2028-06-19,Drops,500mg/5ml,5 vials,Nigeria,Genuine
Tramadol,BestPills International,1Ajddi2,6192818223871,BATCH-918,2020-09-12,  Powder ,5mg,5 vials,China,Suspicious
Atenolol,Swiss Pharma Nigeria Ltd,O5-6795,6198214770926,BN25-1976,2026-06-27,Syrup,200mg,1 tube,Nigeria,Genuine
Azithromycin,GlaxoSmithKline Nigeria,D4-9017,6197320101709,BT25-5456,2027-05-20,Sachet,250mg,30g tube,Nigeria,Genuine
Lonart DS Extra,Chi Pharmaceuitcals Ltd,6CWE6J,3333333333333,BATCH-625,???,Syurp,20mg,5 vials,China,Suspicious
Total Cure Tablets,CureFast Pharmaceuticals,L0-2835,6196251049463,mTsdLr,2021-11-05,Tablet,500mg/5ml,1 pack,China,Suspicious
Gentamicin,Dana Pharmaceuticals Ltd,O2-7694,6192942066153,LOT26-8527,2026-11-22,Powder,10mg,20 tablets,Nigeria,Genuine
Vitamin CC,NovaDrug Industries,E2-8455,6194046682123,PwnMs,09/10/2025,Tablet,5mg,1 vial,Ghana,Suspicious
Azithromycin,Bioraj Pharmaceuticals Ltd,W8-5240,6194344812307,B24-4881,2026-11-05,Injection,100mg,10 capsules,Nigeria,Genuine
Doxycycline,Mopson Pharmaceutical Ltd,U3-3483,6198632666788,LOT24-7351,2027-01-23,Powder,250mg,20 tablets,Nigeria,Genuine
Ranitidine,DrugKing Industries,DH-VYBG,0000000000000,PYA,25/01/2025,suspension,N/A,20 tablets,Ghana,Suspicious
Lisinopril,Swiss Pharma Nigeria Ltd,Q9-4639,6191608752430,L26-7567,2027-10-10,Syrup,250mg/5ml,5 vials,Nigeria,Genuine
Coartem,Mopson Pharmaceutical Ltd,R4-8927,6192629052912,B26-7531,2029-11-18,Suspension,250mg/5ml,20 tablets,Nigeria,Genuine
Sprionolactone,DrugKing Industries,-8091,6190734467461,94,2022-12-21,Saceht,100mg,BULK,India,Suspicious
Erythromycin,Emzor Pharmaceutical Industries,M4-5929,6191343275607,LOT24-8155,2029-12-14,Cream,250mg/5ml,60ml bottle,Nigeria,Genuine
  Promethazine ,BioFix Pharmaceuticals,NOT REGISTERED,0000000000000,BATCH-500,2023-03-18,Powder,250mg/5ml,10 tablets,Unknown,Suspicious
Lonart DS Extra,AlphaHealth Industries,D8-223604,0000000000000,78,2022-08-20,  Powder ,200mg,1 pack,Nigeria,Suspicious
ORS,Pharma Deko Plc,X5-2246,6194604014243,L24-2071,2026-08-06,Tablet,250mg,20 tablets,Nigeria,Genuine
Flagyl,Evans Medical Plc,I2-2520,6191753617066,BN25-1350,2027-11-14,Ointment,10mg,5 vials,Nigeria,Genuine
Chloroquine,Tuyil Pharmaceutical Industries,A1-3127,6194244626325,LOT24-4831,2028-09-23,Powder,125mg/5ml,20 tablets,Nigeria,Genuine
iBUPROFEN,MedExpress Ltd,L2-333036,6195828630400,78,13/03/2025,DROPS,???,1 vial,China,Suspicious
Azithromycin,DrugKing Industries,-1491,24489684604126165542,UNKNOWN,2023-01-05,Capslue,100mg,30g tube,Pakistan,Suspicious
Paracetmol,BioFix Pharmaceuticals,E7-6960,8888888888888,,12/07/2025,Pwoder,400mg,200ml bottle,China,Suspicious
Ciprofloxacn,WonderDrug Co,QN-NUNP,CpXLpq7S5eA0t,BATCH-444,2023-11-06,CAPSULE,5mg,1 pack,Unknown,Suspicious
Vitamin C,Healwell Pharma Ltd,H8-6144,6190207153785,BATCH-163,UNKNOWN,cREAM,125mg/5ml,200ml bottle,India,Suspicious
Tetracycline,Juhel Nigeria Ltd,K-44,0000000000000,BATCH-058,15/04/2026,SYRUP,250mg/5ml,1 tube,India,Suspicious
Tetracycline,Chi Pharmaceuticals Ltd,I3-8944,6192805129278,L25-3998,2029-12-21,Syrup,200mg,1 vial,Nigeria,Genuine
SPIRONOLACTONE,Bioraj Pharmaceuticals Ldt,E7-3477,6197992519734,---,UNKNOWN,Injection,250mg/5ml,1 pack,Pakistan,Suspicious
Coartem,Sanofi Nigeria,B2-6292,6190264801643,LOT24-3974,2029-04-22,Injection,250mg,60ml bottle,Nigeria,Genuine
Metronidazol,dana pharmaceuticals ltd,k7-2930,0000000000000,10,2021-01-01,Powdre,250mg/5ml,100 tablets,India,Suspicious
Ceftriaxone,Chi Pharmaceuticals Ltd,F4-1166,6192990155793,B26-0182,2027-09-24,Injection,250mg,100 tablets,Nigeria,Genuine
Ferrous Sulphate,Hovid Nigeria Ltd,F3-2781,6193348458719,LOT26-3545,2027-06-06,Suspension,500mg/5ml,60ml bottle,Nigeria,Genuine
Instant Relief Caps,Chi Pharmaceuticals Ltd,GPSSS2,990693196303995,MWqbrG,,Syrup,N/A,100ml bottle,Ghana,Suspicious
Atenolol,Dana Pharmaceuticals Ltd,T2-1590,6195302146564,L26-3381,2026-12-23,Capsule,250mg,200ml bottle,Nigeria,Genuine
Metformin,Dana Pharmaceuticals Ltd,C2-1149,6193875099775,BN24-8819,2029-01-01,Powder,250mg/5ml,10 capsules,Nigeria,Genuine
Augmentin,MegaDrug Industries,G-72,8888888888888,37,02/06/2025,Capsule,1g,10 tablets,India,Suspicious
Atenolol,Pfizer Nigeria,H2-1364,6191265789824,L24-5059,2026-09-28,Tablet,500mg/5ml,1 vial,Nigeria,Genuine
Metronidazole,Drugfield Pharmaceuticals Ltd,T3-9281,6196204485157,L26-1510,2029-02-04,Capsule,100mg,1 tube,Nigeria,Genuine
MegaVit Plus,swiss pharma nigeria ltd,B8-1972,6196166201659,BATCH-976,09/06/2026,Powder,125mg/5ml,5 vials,India,Suspicious
Furosemide,Mopson Pharmaceutical Ltd,B4-2900,6190276747830,L26-6490,2029-05-05,Powder,20mg,10 tablets,Nigeria,Genuine
Augmentin,Juhel Nigeria Ltd,R6-8570,6193622660937,L26-7137,2029-01-23,Suspension,200mg,10 capsules,Nigeria,Genuine
Emzor Paracetamol,Drugfield Pharmaceuticals Ltd,J9-6091,6192965923426,L26-3368,2028-05-03,Injection,1g,5 vials,Nigeria,Genuine
Flagy,GoodHealth Generics,N1-515981,0000000000000,hKVOm,2021-11-26,Injection,250mg,100 tablets,Nigeria,Suspicious
Omeprazole,Bioraj Pharmaceuticals Ltd,Z9-6636,6193690261135,B26-9511,2029-09-24,Capsule,5mg,30g tube,Nigeria,Genuine
Magic Cure Pill,AlphaHealth Industries,O0-3955,6193820715484,qlQfQAc,27/08/2026,Drops,100mg,10 capsules,Ghana,Suspicious
Emzor Paracetamol,Emzor Pharmaceutical Industries,L3-2509,6196117768729,B26-0111,2028-08-16,Injection,100mg,20 capsules,Nigeria,Genuine
Augmentin,Sanofi Nigeria,M0-1645,6197063369985,L26-5917,2026-10-25,Powder,100mg,30 tablets,Nigeria,Genuine
Ranitidine,SKG Pharma Ltd,D3-9008,6191870728676,B24-9255,2029-11-26,Injection,250mg/5ml,10 tablets,Nigeria,Genuine
Paracetmol,QuickCure Labs,N-11,81640989103909120302,BATCH-163,,Drosp,N/A,1 tube,China,Suspicious
Lonart DS Extra,Evans Medical   Plc ,X2-4105,6190945255390,UNKNOWN,27/06/2026,Capusle,200mg,10 capsules,Ghana,Suspicious
Glibenclamide,Chi Phamraceuticals Ltd,CUL2Xmf,6194728617467,BATCH-509,???,Syrup,N/A,30g tube,Nigeria,Suspicious
Instant Relief Caps,PharmaPlus International,H-24,dIjgdfBLKt5pu,IDbdUaR,14/08/2025,cream,50mg,1 tube,Pakistan,Suspicious
aRTEMETHER lUMEFANTRINE,swiss pharma nigeria ltd,FR-BTMV,0000000000000,ROUWJEy,12/12/2026,Cream,500mg/5ml,1 pack,Unknown,Suspicious
Lonart,Nigerian German Chemicals Plc,I8-5633,6190858877047,BT25-8519,2026-02-06,Powder,5mg,10 tablets,Nigeria,Genuine
Omeprazloe,NovaDrug Industries,NOT REGISTERED,yqdKqUFUWVupg,64,04/02/2026,Powder,200mg,30g tube,Nigeria,Suspicious
Metronidazol,GoodHealth Generics,O5-9029,0000000000000,iOiTtp,???,Sachet,50mg,20 tablets,India,Suspicious
Amatem,Swiss Pharma Nigeria Ltd,M1-3487,6193724501848,B24-9904,2029-04-22,Drops,400mg,20 tablets,Nigeria,Genuine
  Ampiclox ,Neimeth Internationa lPharmaceuticals,PENDING,6197988368636,??,UNKNOWN,Injection,200mg,10 tablets,Ghana,Suspicious
Flagy,CureFast Pharmaceuticals,-9306,2222222222222,N/A,26/12/2025,  Sachet ,,20 capsules,Ghana,Suspicious
Amoxicillin,Swiss Pharma Nigeria Ltd,U0-8807,6190026876810,BN26-0607,2029-11-04,Cream,20mg,1 vial,Nigeria,Genuine
Power Drug,Healwell Pharma Ltd,K-94,6199701815892,uCEy,2023-05-06,Caspule,100mg,100ml bottle,Ghana,Suspicious
Tetracycline,Neimeth International Pharmaceuticals,O2-7812,6190321450579,L26-7200,2026-10-10,Cream,5mg,200ml bottle,Nigeria,Genuine
  Prednisolone ,AlphaHealth Industries,F-65,6192473650036,78,N/A,  Sachet ,UNKNOWN,1 vial,Unknown,Suspicious
Ferrous Sulphate,Tuyil Pharmaceutical Industries,F5-7374,6192926933587,B26-6162,2026-04-28,Powder,250mg,200ml bottle,Nigeria,Genuine
  Doxycycline ,PharmaPlus International,  J6-1288 ,mZM4S3itebyEH,BATCH-982,2020-07-12,tABLET,5mg,10 capsules,China,Suspicious
ORS,MegaDrug Industries,O06-241,9QMFZxe3WbmxM,96,,TABLET,???,30g tube,Ghana,Suspicious
Tramadol,Bioraj Pharmaceuticals Ltd,C2-7191,6195742231967,LOT25-3708,2026-01-10,Tablet,100mg,100 tablets,Nigeria,Genuine
  Ceftriaxone ,FastRelief Drugs,PENDING,vcx0mSMejK9xs,63,UNKNOWN,  Drops ,50mg,N/A,Ghana,Suspicious
Tetracylcine,Fidson Healthcar ePlc,PENDING,49788,??,2020-03-28,Tbalet,125mg/5ml,1 vial,China,Suspicious
Multivitamin,Juhel Nigeria Ltd,D9-1532,6195348640101,LOT26-2343,2028-07-05,Injection,10mg,60ml bottle,Nigeria,Genuine
Furosemide,Pfizer Nigeria,L7-9981,6196543627188,L25-6852,2026-04-07,Cream,5mg,30 tablets,Nigeria,Genuine
gENTAMICIN,Dana Pharmaceuticals   Ltd ,V886N7,qMR21n6N6ksEz,89,,Tablet,400mg,200ml bottle,India,Suspicious
Panadol,MedExpress Ltd,JR-LOYY,36781752,BATCH-852,2023-07-09,Syrup,50mg,100ml bottle,Nigeria,Suspicious
AUGMENTIN,MedExpress Ltd,B4wNGMPT,qt8Hged36ORU6,BATCH-815,04/06/2026,Powder,100mg,20 tablets,Pakistan,Suspicious
Atnacid,QuickCure Labs,gop,971900002956162256,BATCH-707,20/05/2025,Drops,400mg,100ml bottle,Nigeria,Suspicious
Azithromycin,Neimeth International Pharmaceuticals,D4-8723,6196461368477,LOT26-8836,2027-07-01,Drops,250mg/5ml,60ml bottle,Nigeria,Genuine
Glibenclamide,Emzor Pharmaceutical Industries,C6-5445,6195104636812,LOT25-9882,2026-03-07,Powder,50mg,200ml bottle,Nigeria,Genuine
dOXYCYCLINE,PharmaFast Nigeria,MLAV3W,6196131525520,90,2021-11-26,  Powder ,20mg,1 pack,Ghana,Suspicious
Augmentin,GlaxoSmithKline Nigeria,G8-7562,6195890260123,L26-7233,2026-02-09,Suspension,10mg,20 tablets,Nigeria,Genuine
