DrugName,Manufacturer,NAFDAC_Number,Barcode,BatchNumber,ExpiryDate,DosageForm,Strength,PackageSize,Country,Label,Label_Encoded
amoxicilin,nigerian german chemicals lpc,r-18,1278988524991960841,batch-653,07/08/2025,talbet,unknown,unknown,china,Suspicious,1
chlorpheniramine,supercure pharma,-5770,6192292538416,??,13/02/2026,ointmetn,???,20 capsules,china,Suspicious,1
amlodipine,pfizer nigeria,u0-3845,6192884987455,lot24-3985,2028-09-24,drops,100mg,100ml bottle,nigeria,Genuine,0
power drug,alphahealth industries,-2872,8888888888888,hkpjbsp,2022-12-19,injection,400mg,1 tube,india,Suspicious,1
ranitidine,pfizer nigeria,y6-3421,6193091307562,bt25-3440,2029-09-25,sachet,50mg,1 tube,nigeria,Genuine,0
panado,sunrise medications,ha-klnv,6192405166543,batch-112,09/02/2026,injection,20mg,60ml bottle,pakistan,Suspicious,1
doxycycline,may & baker nigeria plc,c5-2818,6195325947957,bn25-4728,2026-08-04,drops,250mg/5ml,100 tablets,nigeria,Genuine,0
vitamin c,may & baker nigeria plc,f4-6409,6191091090323,l25-1861,2028-10-10,sachet,5mg,20 tablets,nigeria,Genuine,0
diclofenac,fidson healthcare plc,y0-1508,6193309232716,b24-7719,2028-06-06,sachet,1g,1 tube,nigeria,Genuine,0
loperamide,evans medical plc,m7-1570,6194622681717,lot26-1761,2029-01-06,cream,100mg,1 vial,nigeria,Genuine,0
glibenclamide,fidson healthcare plc,s8-1776,6197468235465,b25-1700,2026-01-07,tablet,50mg,30g tube,nigeria,Genuine,0
antacid,sanofi nigeria,b0-5094,6190102724059,lot26-4101,2028-03-20,ointment,50mg,5 vials,nigeria,Genuine,0
amlodipine,neimeth international pharmaceuticals,t6-3565,6197466621598,bn26-4041,2027-12-28,drops,500mg,10 tablets,nigeria,Genuine,0
erythromycin,pharma deko plc,a5-5085,6194281644160,bn24-1817,2029-06-21,suspension,10mg,200ml bottle,nigeria,Genuine,0
gentamicin,bioraj pharmaceuticals ltd,t6-3553,6197066149829,b26-2978,2028-07-15,injection,50mg,10 capsules,nigeria,Genuine,0
cotrimoxazole,pfizer nigeria,b7-748520,0000000000000,??,2020-01-21,cpasule,5mg,200ml bottle,china,Suspicious,1
ampiclox,fastrelief drugs,w6ya8j,2222222222222,mqe,UNKNOWN,ointment,500mg/5ml,5 vials,nigeria,Suspicious,1
promethazine,may & baker nigeria plc,w0-6470,6198561547318,lot25-6253,2027-10-16,sachet,100mg,20 capsules,nigeria,Genuine,0
hydrocortisone,fidson healthcare plc,v9-6544,6190052812738,lot26-5790,2029-12-07,tablet,250mg/5ml,60ml bottle,nigeria,Genuine,0
augmentin,sanofi nigeria,h9-7375,6198562185014,l24-1345,2028-10-25,sachet,1g,60ml bottle,nigeria,Genuine,0
vitamin cc,megadrug industries,a2-725188,1111111111111,---,2020-11-17,capsuel,20mg,unknown,unknown,Suspicious,1
paracetamol,tuyil pharmaceutical industries,g5-7885,6194757051201,lot25-1269,2029-03-07,injection,20mg,10 tablets,nigeria,Genuine,0
doxycycline,mopson pharmaceutical ltd,c5-9284,6191579376390,bt26-4113,2029-11-19,syrup,1g,10 capsules,nigeria,Genuine,0
vitamin cc,alphahealth industries,o7-1452,6196007461433,57,2020-05-24,sachet,1g,1 vial,china,Suspicious,1
metronidazole,chi pharmaceuticals ltd,g3-4238,6192470739208,bn26-3445,2028-11-25,injection,125mg/5ml,60ml bottle,nigeria,Genuine,0
tramadol,pharma deko plc,e2-8696,6192847657043,bn24-1083,2026-10-25,syrup,5mg,30 tablets,nigeria,Genuine,0
tramadol,hovid nigeria ltd,g5-6047,6194617773267,lot24-0420,2028-05-28,injection,1g,30g tube,nigeria,Genuine,0
vitamin b complex,drugfield pharmaceuticals ltd,s0-6766,6198147700540,bn26-1579,2029-08-19,powder,500mg/5ml,1 tube,nigeria,Genuine,0
hydrocortisone,may & baker nigeria plc,cu-ljac,316004,vydq,???,powder,400mg,100 tablets,china,Suspicious,1
instant relief caps,wonderdrug co,a9-9078,6192542654163,76,2023-07-25,suspension,125mg/5ml,20 capsules,china,Suspicious,1
azithromycin,sanofi nigeria,n8-9745,6194578317456,l25-2651,2028-01-01,powder,500mg/5ml,30 tablets,nigeria,Genuine,0
rantiidine,novadrug industries,d-51,0000000000000,87,10/04/2026,suspension,5mg,5 vials,pakistan,Suspicious,1
metformin,fidson healthcare plc,g3-7950,6191386120759,bn24-1300,2026-03-26,injection,5mg,20 tablets,nigeria,Genuine,0
coartem,sanofi nigeria,h8-2113,6199490531522,bn25-8322,2026-10-10,sachet,50mg,60ml bottle,nigeria,Genuine,0
flagy,drugfield pharmaceuticals ltd,j1-3793,6192232087387,batch-884,UNKNOWN,suspension,200mg,100ml bottle,unknown,Suspicious,1
panado,goodhealth generics,sx-kaak,47597833548835719214,---,unknown,injection,50mg,unknown,ghana,Suspicious,1
antacid,nigerian german chemicals plc,j6-6414,0000000000000,??,???,suspension,400mg,10 capsules,ghana,Suspicious,1
vitamin cc,quickcure labs,c5-9690,6192584907340,6,2020-10-24,drops,???,1 vial,pakistan,Suspicious,1
folic acid,fidson healthcare plc,u3-7757,6194424936312,bt24-0553,2027-05-15,drops,5mg,60ml bottle,nigeria,Genuine,0
nifedipine,supercure pharma,-5180,0000000000000,66,2023-05-19,tablet,200mg,20 capsules,china,Suspicious,1
amlodipine,evans medical plc,g9-2094,6190622723624,l25-9789,2027-04-27,cream,250mg,100 tablets,nigeria,Genuine,0
fuorsemide,sanofin igeria,m4-5891,izap8k282txhu,unknown,2023-08-20,cream,1g,30g tube,unknown,Suspicious,1
flagyl,chi pharmaceuticals ltd,j0-5342,6193261189004,bt25-6368,2029-02-23,ointment,200mg,10 tablets,nigeria,Genuine,0
flagyl,bestpills international,p1-2531,07239191846550636985,xmvtsg,unknown,sachet,unknown,1 pack,unknown,Suspicious,1
ciprofloxacn,swiss pharma nigerai ltd,-6402,886173277606395136,sydvch,13/12/2025,suspension,250mg/5ml,unknown,nigeria,Suspicious,1
ors,may & baker nigeria plc,z3-2270,6191587605451,l26-6496,2028-08-11,drops,20mg,1 vial,nigeria,Genuine,0
amoxicilin,emzor pharmaceuitcal industries,pending,3333333333333,28,???,capsule,250mg/5ml,30g tube,pakistan,Suspicious,1
ceftriaxone,nigerian german chemicals plc,m1-9835,6192512868231,bn24-4988,2029-11-24,powder,20mg,200ml bottle,nigeria,Genuine,0
vitamin cc,pharmaplus international,x0-5057,6193997415927,xdqdtbgw,26/09/2025,scahet,500mg/5ml,1 vial,pakistan,Suspicious,1
amoxicilin,fastrelief drugs,z9-1380,45810457,92,14/07/2026,injection,20mg,100ml bottle,pakistan,Suspicious,1
ceftriaxone,pfizer nigeria,z4-6592,6192321941682,bn24-6570,2026-01-06,drops,50mg,1 tube,nigeria,Genuine,0
magic cure pill,topnotch drugs ltd,p-62,6193990460085,89,unknown,ointment,500mg/5ml,10 capsules,unknown,Suspicious,1
amoxicillin,hovid nigeria ltd,f4-9759,6194581308892,b24-0774,2028-08-10,powder,5mg,100 tablets,nigeria,Genuine,0
doxycycline,glaxosmithkline nigeria,a2-1462,6198718274968,b26-0898,2028-10-04,powder,50mg,30 tablets,nigeria,Genuine,0
azithromycin,chi pharmaceuticals ltd,m5-3234,6197354352092,bn25-2336,2026-08-15,ointment,100mg,30g tube,nigeria,Genuine,0
spironolactone,pharmafast nigeria,x1-3713,542832867851506688,syksv,03/07/2026,powder,1g,20 tablets,pakistan,Suspicious,1
lonart,fidson healthcare plc,v7-6615,6199574988556,b24-9762,2028-10-25,suspension,200mg,10 tablets,nigeria,Genuine,0
folic acid,sanofi nigeria,c1-3585,6193829657723,lot24-9816,2028-05-07,capsule,20mg,20 capsules,nigeria,Genuine,0
paracetmaol,fastrelief drugs,k0-7280,5288899088860811,fejxkb,17/01/2026,powder,1g,200ml bottle,india,Suspicious,1
flagyl,drugfield pharmaceuticals ltd,g2-3504,6191277997996,lot26-5279,2027-08-03,drops,50mg,5 vials,nigeria,Genuine,0
erythromycin,bioraj pharmaceuticals ltd,b9-5575,6191491507629,b24-9643,2029-11-14,syrup,500mg,1 tube,nigeria,Genuine,0
megavit plus,drugking industries,b2-7269,0000000000000,??,???,injeciton,unknown,30g tube,unknown,Suspicious,1
megavit plus,biofix pharmaceuticals,f7-4162,6194271832249,lyui,2023-07-04,drops,5mg,10 tablets,ghana,Suspicious,1
ciprofloxacin,unknown,unknown,6198113537392,??,2023-11-06,sachte,unknown,1 pack,unknown,Suspicious,1
chlorhpeniramine,healthmax pharma,fd-iytx,0000000000000,??,16/12/2026,injection,500mg,100ml bottle,unknown,Suspicious,1
emzor paracetamol,drugking industries,pending,6195792826298,vvf,UNKNOWN,syrup,1g,1 pack,pakistan,Suspicious,1
flagyl,nigerian german chemicals plc,s4-1866,6195396727571,b25-4619,2029-09-23,suspension,400mg,5 vials,nigeria,Genuine,0
hydrocortisone,tuyil pharmaceutical industries,r0-9084,6193397767190,b24-4109,2028-10-21,powder,200mg,10 tablets,nigeria,Genuine,0
paracetmol,nigerian german chemicals plc,-5107,6191854554185,41,unknown,cpasule,250mg,100ml bottle,india,Suspicious,1
metroniadzole,wonderdrug co,r-58,05022,5,25/11/2026,cream,250mg/5ml,20 capsules,pakistan,Suspicious,1
prednisolone,sunrise medications,u-13,6710665602492357774,pcyzjgzj,???,cream,200mg,5 vials,pakistan,Suspicious,1
diclofenac,neimeth international pharmaceuticals,v5-6424,6195439878017,lot25-4037,2027-01-22,cream,20mg,30g tube,nigeria,Genuine,0
tramadol,tuyil pharmaceutical industries,d9-8584,6195817246193,bn26-9871,2029-06-16,tablet,250mg,100 tablets,nigeria,Genuine,0
prednisolone,sunrise medications,e146oo,xm8uq9as0iylf,batch-915,2023-06-03,drops,250mg/5ml,10 capsules,ghana,Suspicious,1
ciprofloxacn,pfizer nigeria,a718fv,agyw6rrz6dqiw,43,2022-06-02,caspule,400mg,1 tube,unknown,Suspicious,1
diazepam,tuyil pharmaceutical industries,o1-9797,6190513717176,bt24-8986,2027-10-16,injection,1g,10 tablets,nigeria,Genuine,0
diclofenac,megadrug industries,-3359,6193720945165,---,???,tablet,20mg,unknown,ghana,Suspicious,1
ciprofloxacn,chi pharmaceuticals ltd,kl-uics,qjtgps6xl8jrp,batch-343,2021-10-09,tablet,500mg/5ml,10 tablets,pakistan,Suspicious,1
megavit plus,emzor pharmaceutical industries,umzt2e,076444904,76,24/11/2026,capsule,400mg,10 capsules,ghana,Suspicious,1
amatem,chi pharmaceuticals ltd,t6-9268,6192769704092,lot24-2031,2028-02-26,sachet,20mg,20 tablets,nigeria,Genuine,0
gentamicin,bioraj pharmaceuticals ltd,z7-5255,6194701732088,l25-2518,2027-08-15,drops,100mg,1 vial,nigeria,Genuine,0
tetracycline,tuyil pharmaceutical industries,k4-7264,6190273415145,b26-9056,2026-05-08,capsule,250mg,20 tablets,nigeria,Genuine,0
pnaadol,supercure pharma,l-43,0000000000000,76,???,tablet,125mg/5ml,1 tube,unknown,Suspicious,1
ampiclox,skg pharma ltd,d8-8537,6195003691554,b25-3166,2028-04-09,drops,1g,20 capsules,nigeria,Genuine,0
prednisolone,emzor pharmaceutical industries,i5-3126,6193888562259,b25-6917,2026-06-28,sachet,5mg,60ml bottle,nigeria,Genuine,0
augmentin,may & baker nigeria plc,s6-3551,6198936543587,b26-4506,2026-09-25,suspension,400mg,100 tablets,nigeria,Genuine,0
ranitidine,swiss pharma nigeria ltd,o4-5314,6198570862099,lot26-4012,2028-12-03,powder,20mg,100 tablets,nigeria,Genuine,0
promethazine,swiss pharma nigeria ltd,e2-8790,6190510287672,lot25-8298,2026-04-18,ointment,20mg,30g tube,nigeria,Genuine,0
amoxil,pharma deko plc,g2-7503,6198685074516,bn26-6367,2029-04-10,suspension,20mg,30 tablets,nigeria,Genuine,0
azithromycin,pfizer nigeria,f2-4610,6194103469964,l24-3904,2026-02-14,drops,50mg,30 tablets,nigeria,Genuine,0
hydrocortisone,medline drugs ltd,b-20,398013,unknown,05/09/2025,suspensoin,250mg,5 vials,pakistan,Suspicious,1
augmentin,pfizer nigeria,i8-4554,6191478911791,l24-6756,2028-10-23,powder,250mg,5 vials,nigeria,Genuine,0
amatem,bestpills international,rzjz,aydeyzryzkarw,cfu,UNKNOWN,injcetion,50mg,20 tablets,nigeria,Suspicious,1
ampiclox,neimeth international pharmaceuticals,o8-7116,6198471296184,bn24-3416,2027-05-05,ointment,500mg,20 capsules,nigeria,Genuine,0
amlodipine,sanofi nigeria,i5-5175,6199180172264,bn24-6919,2028-06-19,drops,500mg/5ml,5 vials,nigeria,Genuine,0
tramadol,bestpills international,1ajddi2,6192818223871,batch-918,2020-09-12,powder,5mg,5 vials,china,Suspicious,1
atenolol,swiss pharma nigeria ltd,o5-6795,6198214770926,bn25-1976,2026-06-27,syrup,200mg,1 tube,nigeria,Genuine,0
azithromycin,glaxosmithkline nigeria,d4-9017,6197320101709,bt25-5456,2027-05-20,sachet,250mg,30g tube,nigeria,Genuine,0
lonart ds extra,chi pharmaceuitcals ltd,6cwe6j,3333333333333,batch-625,???,syurp,20mg,5 vials,china,Suspicious,1
total cure tablets,curefast pharmaceuticals,l0-2835,6196251049463,mtsdlr,2021-11-05,tablet,500mg/5ml,1 pack,china,Suspicious,1
gentamicin,dana pharmaceuticals ltd,o2-7694,6192942066153,lot26-8527,2026-11-22,powder,10mg,20 tablets,nigeria,Genuine,0
vitamin cc,novadrug industries,e2-8455,6194046682123,pwnms,09/10/2025,tablet,5mg,1 vial,ghana,Suspicious,1
azithromycin,bioraj pharmaceuticals ltd,w8-5240,6194344812307,b24-4881,2026-11-05,injection,100mg,10 capsules,nigeria,Genuine,0
doxycycline,mopson pharmaceutical ltd,u3-3483,6198632666788,lot24-7351,2027-01-23,powder,250mg,20 tablets,nigeria,Genuine,0
ranitidine,drugking industries,dh-vybg,0000000000000,pya,25/01/2025,suspension,unknown,20 tablets,ghana,Suspicious,1
lisinopril,swiss pharma nigeria ltd,q9-4639,6191608752430,l26-7567,2027-10-10,syrup,250mg/5ml,5 vials,nigeria,Genuine,0
coartem,mopson pharmaceutical ltd,r4-8927,6192629052912,b26-7531,2029-11-18,suspension,250mg/5ml,20 tablets,nigeria,Genuine,0
sprionolactone,drugking industries,-8091,6190734467461,94,2022-12-21,saceht,100mg,bulk,india,Suspicious,1
erythromycin,emzor pharmaceutical industries,m4-5929,6191343275607,lot24-8155,2029-12-14,cream,250mg/5ml,60ml bottle,nigeria,Genuine,0
promethazine,biofix pharmaceuticals,not registered,0000000000000,batch-500,2023-03-18,powder,250mg/5ml,10 tablets,unknown,Suspicious,1
lonart ds extra,alphahealth industries,d8-223604,0000000000000,78,2022-08-20,powder,200mg,1 pack,nigeria,Suspicious,1
ors,pharma deko plc,x5-2246,6194604014243,l24-2071,2026-08-06,tablet,250mg,20 tablets,nigeria,Genuine,0
flagyl,evans medical plc,i2-2520,6191753617066,bn25-1350,2027-11-14,ointment,10mg,5 vials,nigeria,Genuine,0
chloroquine,tuyil pharmaceutical industries,a1-3127,6194244626325,lot24-4831,2028-09-23,powder,125mg/5ml,20 tablets,nigeria,Genuine,0
ibuprofen,medexpress ltd,l2-333036,6195828630400,78,13/03/2025,drops,???,1 vial,china,Suspicious,1
azithromycin,drugking industries,-1491,24489684604126165542,unknown,2023-01-05,capslue,100mg,30g tube,pakistan,Suspicious,1
paracetmol,biofix pharmaceuticals,e7-6960,8888888888888,unknown,12/07/2025,pwoder,400mg,200ml bottle,china,Suspicious,1
ciprofloxacn,wonderdrug co,qn-nunp,cpxlpq7s5ea0t,batch-444,2023-11-06,capsule,5mg,1 pack,unknown,Suspicious,1
vitamin c,healwell pharma ltd,h8-6144,6190207153785,batch-163,UNKNOWN,cream,125mg/5ml,200ml bottle,india,Suspicious,1
tetracycline,juhel nigeria ltd,k-44,0000000000000,batch-058,15/04/2026,syrup,250mg/5ml,1 tube,india,Suspicious,1
tetracycline,chi pharmaceuticals ltd,i3-8944,6192805129278,l25-3998,2029-12-21,syrup,200mg,1 vial,nigeria,Genuine,0
spironolactone,bioraj pharmaceuticals ldt,e7-3477,6197992519734,---,UNKNOWN,injection,250mg/5ml,1 pack,pakistan,Suspicious,1
coartem,sanofi nigeria,b2-6292,6190264801643,lot24-3974,2029-04-22,injection,250mg,60ml bottle,nigeria,Genuine,0
metronidazol,dana pharmaceuticals ltd,k7-2930,0000000000000,10,2021-01-01,powdre,250mg/5ml,100 tablets,india,Suspicious,1
ceftriaxone,chi pharmaceuticals ltd,f4-1166,6192990155793,b26-0182,2027-09-24,injection,250mg,100 tablets,nigeria,Genuine,0
ferrous sulphate,hovid nigeria ltd,f3-2781,6193348458719,lot26-3545,2027-06-06,suspension,500mg/5ml,60ml bottle,nigeria,Genuine,0
instant relief caps,chi pharmaceuticals ltd,gpsss2,990693196303995,mwqbrg,unknown,syrup,unknown,100ml bottle,ghana,Suspicious,1
atenolol,dana pharmaceuticals ltd,t2-1590,6195302146564,l26-3381,2026-12-23,capsule,250mg,200ml bottle,nigeria,Genuine,0
metformin,dana pharmaceuticals ltd,c2-1149,6193875099775,bn24-8819,2029-01-01,powder,250mg/5ml,10 capsules,nigeria,Genuine,0
augmentin,megadrug industries,g-72,8888888888888,37,02/06/2025,capsule,1g,10 tablets,india,Suspicious,1
atenolol,pfizer nigeria,h2-1364,6191265789824,l24-5059,2026-09-28,tablet,500mg/5ml,1 vial,nigeria,Genuine,0
metronidazole,drugfield pharmaceuticals ltd,t3-9281,6196204485157,l26-1510,2029-02-04,capsule,100mg,1 tube,nigeria,Genuine,0
megavit plus,swiss pharma nigeria ltd,b8-1972,6196166201659,batch-976,09/06/2026,powder,125mg/5ml,5 vials,india,Suspicious,1
furosemide,mopson pharmaceutical ltd,b4-2900,6190276747830,l26-6490,2029-05-05,powder,20mg,10 tablets,nigeria,Genuine,0
augmentin,juhel nigeria ltd,r6-8570,6193622660937,l26-7137,2029-01-23,suspension,200mg,10 capsules,nigeria,Genuine,0
emzor paracetamol,drugfield pharmaceuticals ltd,j9-6091,6192965923426,l26-3368,2028-05-03,injection,1g,5 vials,nigeria,Genuine,0
flagy,goodhealth generics,n1-515981,0000000000000,hkvom,2021-11-26,injection,250mg,100 tablets,nigeria,Suspicious,1
omeprazole,bioraj pharmaceuticals ltd,z9-6636,6193690261135,b26-9511,2029-09-24,capsule,5mg,30g tube,nigeria,Genuine,0
magic cure pill,alphahealth industries,o0-3955,6193820715484,qlqfqac,27/08/2026,drops,100mg,10 capsules,ghana,Suspicious,1
emzor paracetamol,emzor pharmaceutical industries,l3-2509,6196117768729,b26-0111,2028-08-16,injection,100mg,20 capsules,nigeria,Genuine,0
augmentin,sanofi nigeria,m0-1645,6197063369985,l26-5917,2026-10-25,powder,100mg,30 tablets,nigeria,Genuine,0
ranitidine,skg pharma ltd,d3-9008,6191870728676,b24-9255,2029-11-26,injection,250mg/5ml,10 tablets,nigeria,Genuine,0
paracetmol,quickcure labs,n-11,81640989103909120302,batch-163,unknown,drosp,unknown,1 tube,china,Suspicious,1
lonart ds extra,evans medical plc,x2-4105,6190945255390,unknown,27/06/2026,capusle,200mg,10 capsules,ghana,Suspicious,1
glibenclamide,chi phamraceuticals ltd,cul2xmf,6194728617467,batch-509,???,syrup,unknown,30g tube,nigeria,Suspicious,1
instant relief caps,pharmaplus international,h-24,dijgdfblkt5pu,idbduar,14/08/2025,cream,50mg,1 tube,pakistan,Suspicious,1
artemether lumefantrine,swiss pharma nigeria ltd,fr-btmv,0000000000000,rouwjey,12/12/2026,cream,500mg/5ml,1 pack,unknown,Suspicious,1
lonart,nigerian german chemicals plc,i8-5633,6190858877047,bt25-8519,2026-02-06,powder,5mg,10 tablets,nigeria,Genuine,0
omeprazloe,novadrug industries,not registered,yqdkqufuwvupg,64,04/02/2026,powder,200mg,30g tube,nigeria,Suspicious,1
metronidazol,goodhealth generics,o5-9029,0000000000000,ioittp,???,sachet,50mg,20 tablets,india,Suspicious,1
amatem,swiss pharma nigeria ltd,m1-3487,6193724501848,b24-9904,2029-04-22,drops,400mg,20 tablets,nigeria,Genuine,0
ampiclox,neimeth internationa lpharmaceuticals,pending,6197988368636,??,UNKNOWN,injection,200mg,10 tablets,ghana,Suspicious,1
flagy,curefast pharmaceuticals,-9306,2222222222222,unknown,26/12/2025,sachet,unknown,20 capsules,ghana,Suspicious,1
amoxicillin,swiss pharma nigeria ltd,u0-8807,6190026876810,bn26-0607,2029-11-04,cream,20mg,1 vial,nigeria,Genuine,0
power drug,healwell pharma ltd,k-94,6199701815892,ucey,2023-05-06,caspule,100mg,100ml bottle,ghana,Suspicious,1
tetracycline,neimeth international pharmaceuticals,o2-7812,6190321450579,l26-7200,2026-10-10,cream,5mg,200ml bottle,nigeria,Genuine,0
prednisolone,alphahealth industries,f-65,6192473650036,78,unknown,sachet,unknown,1 vial,unknown,Suspicious,1
ferrous sulphate,tuyil pharmaceutical industries,f5-7374,6192926933587,b26-6162,2026-04-28,powder,250mg,200ml bottle,nigeria,Genuine,0
doxycycline,pharmaplus international,j6-1288,mzm4s3itebyeh,batch-982,2020-07-12,tablet,5mg,10 capsules,china,Suspicious,1
ors,megadrug industries,o06-241,9qmfzxe3wbmxm,96,unknown,tablet,???,30g tube,ghana,Suspicious,1
tramadol,bioraj pharmaceuticals ltd,c2-7191,6195742231967,lot25-3708,2026-01-10,tablet,100mg,100 tablets,nigeria,Genuine,0
ceftriaxone,fastrelief drugs,pending,vcx0msmejk9xs,63,UNKNOWN,drops,50mg,unknown,ghana,Suspicious,1
tetracylcine,fidson healthcar eplc,pending,49788,??,2020-03-28,tbalet,125mg/5ml,1 vial,china,Suspicious,1
multivitamin,juhel nigeria ltd,d9-1532,6195348640101,lot26-2343,2028-07-05,injection,10mg,60ml bottle,nigeria,Genuine,0
furosemide,pfizer nigeria,l7-9981,6196543627188,l25-6852,2026-04-07,cream,5mg,30 tablets,nigeria,Genuine,0
gentamicin,dana pharmaceuticals ltd,v886n7,qmr21n6n6ksez,89,unknown,tablet,400mg,200ml bottle,india,Suspicious,1
panadol,medexpress ltd,jr-loyy,36781752,batch-852,2023-07-09,syrup,50mg,100ml bottle,nigeria,Suspicious,1
augmentin,medexpress ltd,b4wngmpt,qt8hged36oru6,batch-815,04/06/2026,powder,100mg,20 tablets,pakistan,Suspicious,1
atnacid,quickcure labs,gop,971900002956162256,batch-707,20/05/2025,drops,400mg,100ml bottle,nigeria,Suspicious,1
azithromycin,neimeth international pharmaceuticals,d4-8723,6196461368477,lot26-8836,2027-07-01,drops,250mg/5ml,60ml bottle,nigeria,Genuine,0
glibenclamide,emzor pharmaceutical industries,c6-5445,6195104636812,lot25-9882,2026-03-07,powder,50mg,200ml bottle,nigeria,Genuine,0
doxycycline,pharmafast nigeria,mlav3w,6196131525520,90,2021-11-26,powder,20mg,1 pack,ghana,Suspicious,1
augmentin,glaxosmithkline nigeria,g8-7562,6195890260123,l26-7233,2026-02-09,suspension,10mg,20 tablets,nigeria,Genuine,0
lisinopril,chi pharmaceuticals ltd,f2-2293,6199693792379,lot25-4283,2026-08-10,powder,100mg,20 tablets,nigeria,Genuine,0
amlodipine,glaxosmithkline nigeria,v2-9757,6197153991560,l26-9306,2029-04-08,injection,250mg,10 capsules,nigeria,Genuine,0
vitamin c,chi pharmaceuticals ltd,efb46sata,ts8slib90szbm,batch-237,unknown,injection,400mg,200ml bottle,china,Suspicious,1
prednisolone,pharma deko plc,d2-4117,6198595143463,b24-4042,2028-09-09,tablet,500mg,30 tablets,nigeria,Genuine,0
amoxil,sanofi nigeria,d1-2042,6198623392207,l26-2057,2028-02-04,ointment,1g,1 tube,nigeria,Genuine,0
almodipine,topnotch drugs ltd,r5-721975,fr6tm2kgu5ece,juqqsoq,2022-03-09,drops,???,bulk,india,Suspicious,1
erytrhomycin,hovid nigeria ltd,e8-998972,72324644,unknown,2023-01-26,ointment,unknown,100ml bottle,unknown,Suspicious,1
glibenclamide,nigerian german chemicals plc,b9-8030,6192626582634,bn26-2169,2026-11-19,ointment,500mg/5ml,5 vials,nigeria,Genuine,0
lonart,evans medical plc,z6-8715,6197418625650,bt25-0831,2028-08-15,injection,200mg,10 capsules,nigeria,Genuine,0
ferrous sulphate,mopson pharmaceutical ltd,z8-7955,6196525483740,lot24-7470,2026-11-11,powder,250mg,10 tablets,nigeria,Genuine,0
panadol,drugfield pharmaceuticals ltd,s3-9570,6194308948707,l26-0949,2028-07-28,ointment,400mg,20 tablets,nigeria,Genuine,0
spironolactone,neimeth international pharmaceuticals,p3-4847,6193433339527,bn24-1385,2029-10-01,powder,500mg,100ml bottle,nigeria,Genuine,0
megavit plus,goodhealth generics,h3-958456,w5kambbcmnosl,batch-753,???,capsule,100mg,bulk,pakistan,Suspicious,1
